season,matchday,home_team,away_team,date,home_goals,away_goals
2024,17,FC Internazionale Milano,Como 1907,2024-12-23 19:45:00+00:00,2,0
2024,18,Empoli FC,Genoa CFC,2024-12-28 14:00:00+00:00,1,2
2024,18,Parma Calcio 1913,AC Monza,2024-12-28 14:00:00+00:00,2,1
2024,18,Cagliari Calcio,FC Internazionale Milano,2024-12-28 17:00:00+00:00,0,3
2024,18,SS Lazio,Atalanta BC,2024-12-28 19:45:00+00:00,1,1
2024,18,Udinese Calcio,Torino FC,2024-12-29 11:30:00+00:00,2,2
2024,18,SSC Napoli,Venezia FC,2024-12-29 14:00:00+00:00,1,0
2024,18,Juventus FC,ACF Fiorentina,2024-12-29 17:00:00+00:00,2,2
2024,18,AC Milan,AS Roma,2024-12-29 19:45:00+00:00,1,1
2024,18,Como 1907,US Lecce,2024-12-30 17:30:00+00:00,2,0
2024,18,Bologna FC 1909,Hellas Verona FC,2024-12-30 19:45:00+00:00,2,3
2024,19,Venezia FC,Empoli FC,2025-01-04 14:00:00+00:00,1,1
2024,19,ACF Fiorentina,SSC Napoli,2025-01-04 17:00:00+00:00,0,3
2024,19,Hellas Verona FC,Udinese Calcio,2025-01-04 19:45:00+00:00,0,0
2024,19,AC Monza,Cagliari Calcio,2025-01-05 11:30:00+00:00,1,2
2024,19,US Lecce,Genoa CFC,2025-01-05 14:00:00+00:00,0,0
2024,19,Torino FC,Parma Calcio 1913,2025-01-05 17:00:00+00:00,0,0
2024,19,AS Roma,SS Lazio,2025-01-05 19:45:00+00:00,2,0
2024,20,SS Lazio,Como 1907,2025-01-10 19:45:00+00:00,1,1
2024,20,Empoli FC,US Lecce,2025-01-11 14:00:00+00:00,1,3
2024,20,Udinese Calcio,Atalanta BC,2025-01-11 14:00:00+00:00,0,0
2024,20,Torino FC,Juventus FC,2025-01-11 17:00:00+00:00,1,1
2024,20,AC Milan,Cagliari Calcio,2025-01-11 19:45:00+00:00,1,1
2024,20,Genoa CFC,Parma Calcio 1913,2025-01-12 11:30:00+00:00,1,0
2024,20,Venezia FC,FC Internazionale Milano,2025-01-12 14:00:00+00:00,0,1
2024,20,Bologna FC 1909,AS Roma,2025-01-12 17:00:00+00:00,2,2
2024,20,SSC Napoli,Hellas Verona FC,2025-01-12 19:45:00+00:00,2,0
2024,20,AC Monza,ACF Fiorentina,2025-01-13 19:45:00+00:00,2,1
2024,19,Como 1907,AC Milan,2025-01-14 17:30:00+00:00,1,2
2024,19,Atalanta BC,Juventus FC,2025-01-14 19:45:00+00:00,1,1
2024,19,FC Internazionale Milano,Bologna FC 1909,2025-01-15 19:45:00+00:00,2,2
2024,21,AS Roma,Genoa CFC,2025-01-17 19:45:00+00:00,3,1
2024,21,Bologna FC 1909,AC Monza,2025-01-18 14:00:00+00:00,3,1
2024,21,Juventus FC,AC Milan,2025-01-18 17:00:00+00:00,2,0
2024,21,Atalanta BC,SSC Napoli,2025-01-18 19:45:00+00:00,2,3
2024,21,ACF Fiorentina,Torino FC,2025-01-19 11:30:00+00:00,1,1
2024,21,Cagliari Calcio,US Lecce,2025-01-19 14:00:00+00:00,4,1
2024,21,Parma Calcio 1913,Venezia FC,2025-01-19 14:00:00+00:00,1,1
2024,21,Hellas Verona FC,SS Lazio,2025-01-19 17:00:00+00:00,0,3
2024,21,FC Internazionale Milano,Empoli FC,2025-01-19 19:45:00+00:00,3,1
2024,21,Como 1907,Udinese Calcio,2025-01-20 19:45:00+00:00,4,1
2024,22,Torino FC,Cagliari Calcio,2025-01-24 19:45:00+00:00,2,0
2024,22,Como 1907,Atalanta BC,2025-01-25 14:00:00+00:00,1,2
2024,22,SSC Napoli,Juventus FC,2025-01-25 17:00:00+00:00,2,1
2024,22,Empoli FC,Bologna FC 1909,2025-01-25 19:45:00+00:00,1,1
2024,22,AC Milan,Parma Calcio 1913,2025-01-26 11:30:00+00:00,3,2
2024,22,Udinese Calcio,AS Roma,2025-01-26 14:00:00+00:00,1,2
2024,22,US Lecce,FC Internazionale Milano,2025-01-26 17:00:00+00:00,0,4
2024,22,SS Lazio,ACF Fiorentina,2025-01-26 19:45:00+00:00,1,2
2024,22,Venezia FC,Hellas Verona FC,2025-01-27 17:30:00+00:00,1,1
2024,22,Genoa CFC,AC Monza,2025-01-27 19:45:00+00:00,2,0
2024,23,Parma Calcio 1913,US Lecce,2025-01-31 19:45:00+00:00,1,3
2024,23,AC Monza,Hellas Verona FC,2025-02-01 14:00:00+00:00,0,1
2024,23,Udinese Calcio,Venezia FC,2025-02-01 14:00:00+00:00,3,2
2024,23,Atalanta BC,Torino FC,2025-02-01 17:00:00+00:00,1,1
2024,23,Bologna FC 1909,Como 1907,2025-02-01 19:45:00+00:00,2,0
2024,23,Juventus FC,Empoli FC,2025-02-02 11:30:00+00:00,4,1
2024,23,ACF Fiorentina,Genoa CFC,2025-02-02 14:00:00+00:00,2,1
2024,23,AC Milan,FC Internazionale Milano,2025-02-02 17:00:00+00:00,1,1
2024,23,AS Roma,SSC Napoli,2025-02-02 19:45:00+00:00,1,1
2024,23,Cagliari Calcio,SS Lazio,2025-02-03 19:45:00+00:00,1,2
2024,14,ACF Fiorentina,FC Internazionale Milano,2025-02-06 19:45:00+00:00,3,0
2024,24,Como 1907,Juventus FC,2025-02-07 19:45:00+00:00,1,2
2024,24,Hellas Verona FC,Atalanta BC,2025-02-08 14:00:00+00:00,0,5
2024,24,Empoli FC,AC Milan,2025-02-08 17:00:00+00:00,0,2
2024,24,Torino FC,Genoa CFC,2025-02-08 19:45:00+00:00,1,1
2024,24,Venezia FC,AS Roma,2025-02-09 11:30:00+00:00,0,1
2024,24,Cagliari Calcio,Parma Calcio 1913,2025-02-09 14:00:00+00:00,2,1
2024,24,SS Lazio,AC Monza,2025-02-09 14:00:00+00:00,5,1
2024,24,US Lecce,Bologna FC 1909,2025-02-09 17:00:00+00:00,0,0
2024,24,SSC Napoli,Udinese Calcio,2025-02-09 19:45:00+00:00,1,1
2024,24,FC Internazionale Milano,ACF Fiorentina,2025-02-10 19:45:00+00:00,2,1
2024,25,Bologna FC 1909,Torino FC,2025-02-14 19:45:00+00:00,3,2
2024,25,Atalanta BC,Cagliari Calcio,2025-02-15 14:00:00+00:00,0,0
2024,25,SS Lazio,SSC Napoli,2025-02-15 17:00:00+00:00,2,2
2024,25,AC Milan,Hellas Verona FC,2025-02-15 19:45:00+00:00,1,0
2024,25,ACF Fiorentina,Como 1907,2025-02-16 11:30:00+00:00,0,2
2024,25,AC Monza,US Lecce,2025-02-16 14:00:00+00:00,0,0
2024,25,Udinese Calcio,Empoli FC,2025-02-16 14:00:00+00:00,3,0
2024,25,Parma Calcio 1913,AS Roma,2025-02-16 17:00:00+00:00,0,1
2024,25,Juventus FC,FC Internazionale Milano,2025-02-16 19:45:00+00:00,1,0
2024,25,Genoa CFC,Venezia FC,2025-02-17 19:45:00+00:00,2,0
2024,26,US Lecce,Udinese Calcio,2025-02-21 19:45:00+00:00,0,1
2024,26,Parma Calcio 1913,Bologna FC 1909,2025-02-22 14:00:00+00:00,2,0
2024,26,Venezia FC,SS Lazio,2025-02-22 14:00:00+00:00,0,0
2024,26,Torino FC,AC Milan,2025-02-22 17:00:00+00:00,2,1
2024,26,FC Internazionale Milano,Genoa CFC,2025-02-22 19:45:00+00:00,1,0
2024,26,Como 1907,SSC Napoli,2025-02-23 11:30:00+00:00,2,1
2024,26,Hellas Verona FC,ACF Fiorentina,2025-02-23 14:00:00+00:00,1,0
2024,26,Empoli FC,Atalanta BC,2025-02-23 17:00:00+00:00,0,5
2024,26,Cagliari Calcio,Juventus FC,2025-02-23 19:45:00+00:00,0,1
2024,26,AS Roma,AC Monza,2025-02-24 19:45:00+00:00,4,0
2024,9,Bologna FC 1909,AC Milan,2025-02-27 19:45:00+00:00,2,1
2024,27,ACF Fiorentina,US Lecce,2025-02-28 19:45:00+00:00,1,0
2024,27,Atalanta BC,Venezia FC,2025-03-01 14:00:00+00:00,0,0
2024,27,SSC Napoli,FC Internazionale Milano,2025-03-01 17:00:00+00:00,1,1
2024,27,Udinese Calcio,Parma Calcio 1913,2025-03-01 19:45:00+00:00,1,0
2024,27,AC Monza,Torino FC,2025-03-02 11:30:00+00:00,0,2
2024,27,Bologna FC 1909,Cagliari Calcio,2025-03-02 14:00:00+00:00,2,1
2024,27,Genoa CFC,Empoli FC,2025-03-02 14:00:00+00:00,1,1
2024,27,AS Roma,Como 1907,2025-03-02 17:00:00+00:00,2,1
2024,27,AC Milan,SS Lazio,2025-03-02 19:45:00+00:00,1,2
2024,27,Juventus FC,Hellas Verona FC,2025-03-03 19:45:00+00:00,2,0
2024,28,Cagliari Calcio,Genoa CFC,2025-03-07 19:45:00+00:00,1,1
2024,28,Como 1907,Venezia FC,2025-03-08 14:00:00+00:00,1,1
2024,28,Parma Calcio 1913,Torino FC,2025-03-08 14:00:00+00:00,2,2
2024,28,US Lecce,AC Milan,2025-03-08 17:00:00+00:00,2,3
2024,28,FC Internazionale Milano,AC Monza,2025-03-08 19:45:00+00:00,3,2
2024,28,Hellas Verona FC,Bologna FC 1909,2025-03-09 11:30:00+00:00,1,2
2024,28,SSC Napoli,ACF Fiorentina,2025-03-09 14:00:00+00:00,2,1
2024,28,Empoli FC,AS Roma,2025-03-09 17:00:00+00:00,0,1
2024,28,Juventus FC,Atalanta BC,2025-03-09 19:45:00+00:00,0,4
2024,28,SS Lazio,Udinese Calcio,2025-03-10 19:45:00+00:00,1,1
2024,29,Genoa CFC,US Lecce,2025-03-14 19:45:00+00:00,2,1
2024,29,AC Monza,Parma Calcio 1913,2025-03-15 14:00:00+00:00,1,1
2024,29,Udinese Calcio,Hellas Verona FC,2025-03-15 14:00:00+00:00,0,1
2024,29,AC Milan,Como 1907,2025-03-15 17:00:00+00:00,2,1
2024,29,Torino FC,Empoli FC,2025-03-15 19:45:00+00:00,1,0
2024,29,Venezia FC,SSC Napoli,2025-03-16 11:30:00+00:00,0,0
2024,29,Bologna FC 1909,SS Lazio,2025-03-16 14:00:00+00:00,5,0
2024,29,AS Roma,Cagliari Calcio,2025-03-16 15:00:00+00:00,1,0
2024,29,ACF Fiorentina,Juventus FC,2025-03-16 17:00:00+00:00,3,0
2024,29,Atalanta BC,FC Internazionale Milano,2025-03-16 19:45:00+00:00,0,2
2024,30,Como 1907,Empoli FC,2025-03-29 14:00:00+00:00,1,1
2024,30,Venezia FC,Bologna FC 1909,2025-03-29 14:00:00+00:00,0,1
2024,30,Juventus FC,Genoa CFC,2025-03-29 17:00:00+00:00,1,0
2024,30,US Lecce,AS Roma,2025-03-29 19:45:00+00:00,0,1
2024,30,Cagliari Calcio,AC Monza,2025-03-30 10:30:00+00:00,3,0
2024,30,ACF Fiorentina,Atalanta BC,2025-03-30 13:00:00+00:00,1,0
2024,30,FC Internazionale Milano,Udinese Calcio,2025-03-30 16:00:00+00:00,2,1
2024,30,SSC Napoli,AC Milan,2025-03-30 18:45:00+00:00,2,1
2024,30,Hellas Verona FC,Parma Calcio 1913,2025-03-31 16:30:00+00:00,0,0
2024,30,SS Lazio,Torino FC,2025-03-31 18:45:00+00:00,1,1
2024,31,Genoa CFC,Udinese Calcio,2025-04-04 18:45:00+00:00,1,0
2024,31,AC Monza,Como 1907,2025-04-05 13:00:00+00:00,1,3
2024,31,Parma Calcio 1913,FC Internazionale Milano,2025-04-05 16:00:00+00:00,2,2
2024,31,AC Milan,ACF Fiorentina,2025-04-05 18:45:00+00:00,2,2
2024,31,US Lecce,Venezia FC,2025-04-06 10:30:00+00:00,1,1
2024,31,Empoli FC,Cagliari Calcio,2025-04-06 13:00:00+00:00,0,0
2024,31,Torino FC,Hellas Verona FC,2025-04-06 13:00:00+00:00,1,1
2024,31,Atalanta BC,SS Lazio,2025-04-06 16:00:00+00:00,0,1
2024,31,AS Roma,Juventus FC,2025-04-06 18:45:00+00:00,1,1
2024,31,Bologna FC 1909,SSC Napoli,2025-04-07 18:45:00+00:00,1,1
2024,32,Udinese Calcio,AC Milan,2025-04-11 18:45:00+00:00,0,4
2024,32,Venezia FC,AC Monza,2025-04-12 13:00:00+00:00,1,0
2024,32,FC Internazionale Milano,Cagliari Calcio,2025-04-12 16:00:00+00:00,3,1
2024,32,Juventus FC,US Lecce,2025-04-12 18:45:00+00:00,2,1
2024,32,Atalanta BC,Bologna FC 1909,2025-04-13 10:30:00+00:00,2,0
2024,32,ACF Fiorentina,Parma Calcio 1913,2025-04-13 13:00:00+00:00,0,0
2024,32,Hellas Verona FC,Genoa CFC,2025-04-13 13:00:00+00:00,0,0
2024,32,Como 1907,Torino FC,2025-04-13 16:00:00+00:00,1,0
2024,32,SS Lazio,AS Roma,2025-04-13 18:45:00+00:00,1,1
2024,32,SSC Napoli,Empoli FC,2025-04-14 18:45:00+00:00,3,0
2024,33,US Lecce,Como 1907,2025-04-19 13:00:00+00:00,0,3
2024,33,AC Monza,SSC Napoli,2025-04-19 16:00:00+00:00,0,1
2024,33,AS Roma,Hellas Verona FC,2025-04-19 18:45:00+00:00,1,0
