num_matches,matches,types,total_quota,total_probability,expected_return_per_euro,roi_percentage,score
4,"['Como 1907 vs US Sassuolo Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",1.9,57.76561082359947,1.1,9.65,0.6944810078821929
3,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC']","['1X', '1X', '2X']",2.01,55.40837972240662,1.11,11.24,0.6856976199424903
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '2X', '1X']",2.35,49.899446092669685,1.17,17.22,0.6855911271251802
2,"['Como 1907 vs US Sassuolo Calcio', 'US Lecce vs Torino FC']","['1X', '2X']",1.54,66.12980946895236,1.02,1.77,0.6849660618576409
3,"['Como 1907 vs US Sassuolo Calcio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '2X', '1X']",1.8,59.55490630201701,1.07,7.24,0.6848596826555441
3,"['Como 1907 vs US Sassuolo Calcio', 'Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",1.58,64.95161706455166,1.02,2.42,0.6813175358304925
4,"['Como 1907 vs US Sassuolo Calcio', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",1.84,58.49385473067118,1.08,7.92,0.6812117232656485
4,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",2.3,50.50318498731512,1.16,16.14,0.6811709254249803
5,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X', '1X']",2.69,45.481946402478165,1.22,22.37,0.6810651356295826
3,"['Genoa CFC vs Hellas Verona FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'AS Roma vs SSC Napoli']","['1X', '2X', '1X']",1.98,55.70376793353261,1.1,10.18,0.6762320558600172
4,"['Genoa CFC vs Hellas Verona FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '2X', '1X', '1X']",2.31,50.16546556826772,1.16,16.09,0.6761270330997078
